dept_title,oca_title,org_cost_acct,appropriation_amt,cur_doc_no,cur_doc_no_sfx,obj_lvl_3,obj_lvl_3_title,ESRI_OID
Department of Finance,Self Insurance Safety Office,036319,"1,632.00",BU740036,16,1101,Longevity,797
Department of Finance,Self Insurance Safety Office,036319,977.00,BU740036,17,1190,Accrual,798
Department of Finance,Self Insurance Safety Office,036319,"1,200.00",BU740036,18,1208,Cellular phone allowance,799
Department of Finance,Self Insurance Safety Office,036319,"11,687.00",BU740036,19,1400,FICA,800
Department of Finance,Self Insurance Safety Office,036319,"18,791.00",BU740036,20,1401,Employee pension,801
Department of Finance,Self Insurance Safety Office,036319,962.00,BU740036,21,1403,Workers compensation,802
Department of Finance,Self Insurance Safety Office,036319,"1,550.00",BU740036,34,2308,Transportation - out of town,803
Department of Finance,Self Insurance Safety Office,036319,430.00,BU740036,35,2401,Vehicle liability,804
Department of Finance,Self Insurance Safety Office,036319,100.00,BU740036,36,2500,Certification fees,805
Department of Finance,Self Insurance Safety Office,036319,"2,630.00",BU740036,37,2599,Other professional services,806
Department of Finance,Self Insurance Safety Office,036319,"5,810.00",BU740036,38,2600,Data center charges,807
Department of Finance,Self Insurance Safety Office,036319,"5,640.00",BU740036,39,2700,Motor pool - scheduled charges,808
Department of Finance,Self Insurance Safety Office,036319,50.00,BU740036,40,2902,Advertising,809
Department of Finance,Self Insurance Safety Office,036319,"2,880.00",BU740036,41,2904,Codes and manuals,810
Department of Finance,Self Insurance Safety Office,036319,"1,725.00",BU740036,42,2905,Periodicals/Subscriptions,811
Department of Finance,Self Insurance Safety Office,036319,"3,900.00",BU740036,43,2906,Membership dues,812
Department of Finance,Self Insurance Safety Office,036319,"1,500.00",BU740036,44,2917,Printing and copying,813
Department of Finance,Self Insurance Safety Office,036319,250.00,BU740036,45,2999,Other contractuals,814
Department of Finance,Self Insurance Safety Office,036319,750.00,BU740036,46,3103,Office supplies,815
Department of Finance,Self Insurance Safety Office,036319,100.00,BU740036,47,3200,Clothing and towels,816
Department of Finance,Self Insurance Safety Office,036319,"1,000.00",BU740036,48,3400,Equipment parts and supplies,817
Department of Finance,Self Insurance Safety Office,036319,"3,500.00",BU740036,49,3404,Computer/Printer,818
Department of Finance,Self Insurance Safety Office,036319,260.00,BU740036,50,3405,Fuel,819
Department of Finance,Self Insurance Safety Office,036319,306.00,BU740036,22,1404,Unemployment compensation,820
Department of Finance,Self Insurance Safety Office,036319,"1,000.00",BU740036,51,3406,Safety/security equipment,821
Department of Finance,Self Insurance Safety Office,036319,"5,100.00",BU740036,52,3500,Materials,822
Department of Finance,Self Insurance Safety Office,036319,"4,750.00",BU740036,53,3599,Other materials,823
Department of Finance,Self Insurance Safety Office,036319,800.00,BU740036,54,3804,"Data processing equipment  < $5,000 each",824
Department of Finance,Self Insurance Safety Office,036319,"14,000.00",BU740036,55,3805,Furniture & equipment <$5000 each,825
Department of Finance,Self Insurance Safety Office,036319,700.00,BU740036,56,3812,"Communication equipment < $5,000 each",826
Department of Finance,Self Insurance Safety Office,036319,"1,100.00",BU740036,57,3813,"Training equipment < $5,000 each",827
Department of Finance,Self Insurance Safety Office,036319,"2,600.00",BU740036,58,3815,"Safety equipment < $5,000 each",828
Department of Finance,Self Insurance Safety Office,036319,"1,000.00",BU740036,59,3902,Medical supplies,829
Department of Finance,Self Insurance Safety Office,036319,"1,600.00",BU740036,60,3903,Food supplies,830
Department of Finance,Self Insurance Safety Office,036319,"49,985.00",BU740036,61,3999,Other commodities,831
Department of Finance,Self Insurance Safety Office,036319,605.00,BU740036,24,1406,Group life insurance,832
Department of Finance,Self Insurance Safety Office,036319,228.00,BU740036,25,2200,PBX - line charges,833
Department of Finance,Self Insurance Safety Office,036319,300.00,BU740036,26,2201,PBX - instrument charges,834
Department of Finance,Self Insurance Safety Office,036319,50.00,BU740036,27,2203,Long distance service,835
Department of Finance,Self Insurance Safety Office,036319,50.00,BU740036,28,2207,Postage - regular,836
Department of Finance,Self Insurance Safety Office,036319,250.00,BU740036,29,2211,Express mail,837
Department of Finance,Self Insurance Safety Office,036319,168.00,BU740036,30,2216,Voice mail,838
Department of Finance,Self Insurance Safety Office,036319,"3,000.00",BU740036,31,2301,Meals and lodging allowance,839
Department of Finance,Self Insurance Safety Office,036319,"2,600.00",BU740036,32,2302,Out of town registration fees,840
Department of Finance,Self Insurance Safety Office,036319,"2,600.00",BU740036,33,2303,In town registration fees,841
Department of Finance,Self Insurance Safety Office,036319,"10,859.00",BU740036,23,1405,Group health insurance,842
Department of Finance,Directors Office Admin,037002,"700,069.00",BU740036,62,1100,Bi-weekly wages,843
Department of Finance,Directors Office Admin,037002,"4,068.00",BU740036,63,1101,Longevity,844
Department of Finance,Directors Office Admin,037002,"3,686.00",BU740036,64,1190,Accrual,845
Department of Finance,Directors Office Admin,037002,"72,269.00",BU740036,65,1199,Other,846
Department of Finance,Directors Office Admin,037002,"2,400.00",BU740036,66,1205,Auto allowance,847
Department of Finance,Directors Office Admin,037002,"1,200.00",BU740036,67,1208,Cellular phone allowance,848
Department of Finance,Directors Office Admin,037002,"52,120.00",BU740036,68,1400,FICA,849
Department of Finance,Directors Office Admin,037002,"86,609.00",BU740036,69,1401,Employee pension,850
Department of Finance,Directors Office Admin,037002,"4,436.00",BU740036,70,1403,Workers compensation,851
Department of Finance,Directors Office Admin,037002,"1,408.00",BU740036,71,1404,Unemployment compensation,852
Department of Finance,Directors Office Admin,037002,"102,662.00",BU740036,72,1405,Group health insurance,853
Department of Finance,Directors Office Admin,037002,"2,800.00",BU740036,73,1406,Group life insurance,854
Department of Finance,Directors Office Admin,037002,"1,368.00",BU740036,74,2200,PBX - line charges,855
Department of Finance,Directors Office Admin,037002,"179,632.00",BU740085,56,9812,Reimbursed expend-interfund & interdept,856
Department of Finance,Directors Office Admin,037002,"71,672.00",BU740085,57,9826,Administrative fees,857
Department of Finance,Directors Office Admin,037002,"2,685.00",BU740021,94,2201,PBX - instrument charges,858
Department of Finance,Directors Office Admin,037002,110.00,BU740009,15,2905,Periodicals/Subscriptions,859
Department of Finance,Directors Office Admin,037002,"1,122.00",BU740009,16,2906,Membership dues,860
Department of Finance,Directors Office Admin,037002,"12,000.00",BU740009,17,2917,Printing and copying,861
Department of Finance,Directors Office Admin,037002,380.00,BU740009,18,2999,Other contractuals,862
Department of Finance,Directors Office Admin,037002,500.00,BU740009,19,3101,Computer/printer supplies,863
Department of Finance,Directors Office Admin,037002,"1,870.00",BU740009,20,3103,Office supplies,864
Department of Finance,Directors Office Admin,037002,150.00,BU740009,21,3804,"Data processing equipment  < $5,000 each",865
Department of Finance,Directors Office Admin,037002,500.00,BU740009,22,3805,Furniture & equipment <$5000 each,866
Department of Finance,Directors Office Admin,037002,318.00,BU740009,23,3999,Other commodities,867
Department of Finance,Directors Office Admin,037002,600.00,BU740009,2,2203,Long distance service,868
Department of Finance,Directors Office Admin,037002,850.00,BU740009,3,2207,Postage - regular,869
Department of Finance,Directors Office Admin,037002,588.00,BU740009,4,2216,Voice mail,870
Department of Finance,Directors Office Admin,037002,"2,400.00",BU740009,5,2301,Meals and lodging allowance,871
Department of Finance,Directors Office Admin,037002,"2,000.00",BU740009,6,2302,Out of town registration fees,872
Department of Finance,Directors Office Admin,037002,"1,110.00",BU740009,7,2303,In town registration fees,873
Department of Finance,Directors Office Admin,037002,"1,690.00",BU740009,8,2308,Transportation - out of town,874
Department of Finance,Directors Office Admin,037002,690.00,BU740009,9,2500,Certification fees,875
Department of Finance,Directors Office Admin,037002,"1,440.00",BU740009,10,2543,Bank charges,876
Department of Finance,Directors Office Admin,037002,"109,128.00",BU740009,11,2600,Data center charges,877
Department of Finance,Directors Office Admin,037002,100.00,BU740009,12,2701,Motor pool-unscheduled charges,878
Department of Finance,Directors Office Admin,037002,"2,600.00",BU740009,13,2902,Advertising,879
Department of Finance,Directors Office Admin,037002,495.00,BU740009,14,2904,Codes and manuals,880
Department of Finance,TBID Service ,037024,"71,672.00",BU740009,24,2599,Other professional services,881
Department of Finance,TBID Service ,037024,"2,916,039.00",BU740009,25,5333,Miscellaneous and sundry,882
Department of Finance,TBID Service ,037024,"2,987,711.00",BU740085,58,6033,Transient guest tax,883
Department of Finance,General Accounting,037101,"49,728.00",BU740085,59,9812,Reimbursed expend-interfund & interdept,884
Department of Finance,General Accounting,037101,"1,478.00",BU740071,79,3805,Furniture & equipment <$5000 each,885
Department of Finance,General Accounting,037101,100.00,BU740071,80,3903,Food supplies,886
Department of Finance,General Accounting,037101,50.00,BU740071,81,3904,Petty cash expenditures,887
Department of Finance,General Accounting,037101,"763,785.00",BU740009,26,1100,Bi-weekly wages,888
Department of Finance,General Accounting,037101,"6,276.00",BU740009,27,1101,Longevity,889
Department of Finance,General Accounting,037101,"3,309.00",BU740009,28,1190,Accrual,890
Department of Finance,General Accounting,037101,"-,152,420.00",BU740009,29,1199,Other,891
Department of Finance,General Accounting,037101,"1,200.00",BU740009,30,1208,Cellular phone allowance,892
Department of Finance,General Accounting,037101,"58,458.00",BU740009,31,1400,FICA,893
Department of Finance,General Accounting,037101,"94,718.00",BU740009,32,1401,Employee pension,894
Department of Finance,General Accounting,037101,"4,851.00",BU740009,33,1403,Workers compensation,895
Department of Finance,General Accounting,037101,"1,540.00",BU740009,34,1404,Unemployment compensation,896
Department of Finance,General Accounting,037101,"136,523.00",BU740009,35,1405,Group health insurance,897
Department of Finance,General Accounting,037101,"3,055.00",BU740009,36,1406,Group life insurance,898
Department of Finance,General Accounting,037101,"-14,062.00",BU740009,37,1499,Employee benefits in aggregate,899
Department of Finance,General Accounting,037101,"1,824.00",BU740042,70,2200,PBX - line charges,900
Department of Finance,General Accounting,037101,"3,630.00",BU740042,71,2201,PBX - instrument charges,901
Department of Finance,General Accounting,037101,300.00,BU740042,72,2203,Long distance service,902
Department of Finance,General Accounting,037101,"2,230.00",BU740042,73,2207,Postage - regular,903
Department of Finance,General Accounting,037101,150.00,BU740042,74,2211,Express mail,904
Department of Finance,General Accounting,037101,672.00,BU740042,75,2216,Voice mail,905
Department of Finance,General Accounting,037101,"4,000.00",BU740042,76,2301,Meals and lodging allowance,906
Department of Finance,General Accounting,037101,"2,300.00",BU740042,77,2302,Out of town registration fees,907
Department of Finance,General Accounting,037101,"1,720.00",BU740042,78,2303,In town registration fees,908
Department of Finance,General Accounting,037101,760.00,BU740042,79,2308,Transportation - out of town,909
Department of Finance,General Accounting,037101,275.00,BU740042,80,2500,Certification fees,910
Department of Finance,General Accounting,037101,"13,860.00",BU740042,81,2503,Studies/Consultants,911
Department of Finance,General Accounting,037101,"100,000.00",BU740042,82,2507,Audits,912
Department of Finance,General Accounting,037101,"19,244.00",BU740042,83,2599,Other professional services,913
Department of Finance,General Accounting,037101,"16,794.00",BU740042,84,2600,Data center charges,914
Department of Finance,General Accounting,037101,200.00,BU740042,85,2601,Maintenance - data equipment,915
Department of Finance,General Accounting,037101,250.00,BU740042,86,2701,Motor pool-unscheduled charges,916
Department of Finance,General Accounting,037101,350.00,BU740042,87,2902,Advertising,917
Department of Finance,General Accounting,037101,700.00,BU740042,88,2904,Codes and manuals,918
Department of Finance,General Accounting,037101,510.00,BU740042,89,2905,Periodicals/Subscriptions,919
Department of Finance,General Accounting,037101,"1,472.00",BU740042,90,2906,Membership dues,920
Department of Finance,General Accounting,037101,"8,705.00",BU740042,91,2917,Printing and copying,921
Department of Finance,General Accounting,037101,"8,650.00",BU740042,92,2999,Other contractuals,922
Department of Finance,General Accounting,037101,"3,000.00",BU740042,93,3101,Computer/printer supplies,923
Department of Finance,General Accounting,037101,"2,000.00",BU740042,94,3103,Office supplies,924
Department of Finance,General Accounting,037101,"1,025.00",BU740059,81,3804,"Data processing equipment  < $5,000 each",925
Department of Finance,General Purchasing,037200,"1,500.00",BU740080,13,5100,Contributions to other funds,926
Department of Finance,General Purchasing,037200,"592,268.00",BU740071,82,1100,Bi-weekly wages,927
Department of Finance,General Purchasing,037200,"8,100.00",BU740071,83,1101,Longevity,928
Department of Finance,General Purchasing,037200,"3,445.00",BU740071,84,1190,Accrual,929
Department of Finance,General Purchasing,037200,600.00,BU740071,85,1208,Cellular phone allowance,930
Department of Finance,General Purchasing,037200,"45,731.00",BU740071,86,1400,FICA,931
Department of Finance,General Purchasing,037200,"3,783.00",BU740071,88,1403,Workers compensation,932
Department of Finance,General Purchasing,037200,"1,201.00",BU740071,89,1404,Unemployment compensation,933
Department of Finance,General Purchasing,037200,"100,609.00",BU740071,90,1405,Group health insurance,934
Department of Finance,General Purchasing,037200,"2,369.00",BU740071,91,1406,Group life insurance,935
Department of Finance,General Purchasing,037200,"2,280.00",BU740071,92,2200,PBX - line charges,936
Department of Finance,General Purchasing,037200,"3,420.00",BU740071,93,2201,PBX - instrument charges,937
Department of Finance,General Purchasing,037200,"1,100.00",BU740071,94,2203,Long distance service,938
Department of Finance,General Purchasing,037200,"2,000.00",BU740071,95,2207,Postage - regular,939
Department of Finance,General Purchasing,037200,"1,280.00",BU740071,96,2211,Express mail,940
Department of Finance,General Purchasing,037200,420.00,BU740071,97,2214,Air cards - mobile,941
Department of Finance,General Purchasing,037200,588.00,BU740071,98,2216,Voice mail,942
Department of Finance,General Purchasing,037200,"2,800.00",BU740071,99,2301,Meals and lodging allowance,943
Department of Finance,General Purchasing,037200,"2,000.00",BU740071,100,2302,Out of town registration fees,944
Department of Finance,General Purchasing,037200,300.00,BU740072,1,2303,In town registration fees,945
Department of Finance,General Purchasing,037200,"1,600.00",BU740072,2,2308,Transportation - out of town,946
Department of Finance,General Purchasing,037200,650.00,BU740072,3,2500,Certification fees,947
Department of Finance,General Purchasing,037200,"1,210.00",BU740072,4,2599,Other professional services,948
Department of Finance,General Purchasing,037200,"16,680.00",BU740072,5,2600,Data center charges,949
Department of Finance,General Purchasing,037200,200.00,BU740072,6,2601,Maintenance - data equipment,950
Department of Finance,General Purchasing,037200,322.00,BU740072,7,2701,Motor pool-unscheduled charges,951
Department of Finance,General Purchasing,037200,828.00,BU740072,8,2702,Lease/rent equipment,952
Department of Finance,General Purchasing,037200,600.00,BU740072,9,2902,Advertising,953
Department of Finance,General Purchasing,037200,"1,460.00",BU740072,10,2906,Membership dues,954
Department of Finance,General Purchasing,037200,"8,500.00",BU740072,11,2917,Printing and copying,955
Department of Finance,General Purchasing,037200,100.00,BU740072,12,2922,Shredding and recycling,956
Department of Finance,General Purchasing,037200,"2,700.00",BU740072,13,2999,Other contractuals,957
Department of Finance,General Purchasing,037200,376.00,BU740072,14,3101,Computer/printer supplies,958
Department of Finance,General Purchasing,037200,"3,514.00",BU740072,15,3103,Office supplies,959
Department of Finance,General Purchasing,037200,940.00,BU740072,17,3903,Food supplies,960
Department of Finance,General Purchasing,037200,50.00,BU740072,18,3904,Petty cash expenditures,961
Department of Finance,General Purchasing,037200,"73,846.00",BU740071,87,1401,Employee pension,962
Department of Finance,General Purchasing,037200,"1,200.00",BU740072,16,3804,"Data processing equipment  < $5,000 each",963
Department of Finance,Stationery Stores,037219,"12,600.00",BU740072,19,2505,Contractors,964
Department of Finance,Stationery Stores,037219,"11,304.00",BU740072,20,2702,Lease/rent equipment,965
Department of Finance,Stationery Stores,037219,"2,500.00",BU740072,21,3103,Office supplies,966
Department of Finance,Stationery Stores,037219,"150,000.00",BU740072,22,5401,Inventory (clearing account),967
Department of Finance,Stationery Stores,037219,"150,000.00",BU740085,60,9000,Sale of services/commodities,968
Department of Finance,Treasury Office,037408,"536,562.00",BU740085,61,9812,Reimbursed expend-interfund & interdept,969
Department of Finance,Treasury Office,037408,550.00,BU740007,11,2999,Other contractuals,970
Department of Finance,Treasury Office,037408,"3,500.00",BU740007,12,3101,Computer/printer supplies,971
Department of Finance,Treasury Office,037408,"6,100.00",BU740007,13,3103,Office supplies,972
Department of Finance,Treasury Office,037408,50.00,BU740007,14,3199,Other office supplies,973
Department of Finance,Treasury Office,037408,"1,000.00",BU740007,15,3404,Computer/Printer,974
Department of Finance,Treasury Office,037408,"1,000.00",BU740007,16,3408,Communication,975
Department of Finance,Treasury Office,037408,"1,000.00",BU740007,17,3499,Other equipment parts,976
Department of Finance,Treasury Office,037408,"3,100.00",BU740007,18,3804,"Data processing equipment  < $5,000 each",977
Department of Finance,Treasury Office,037408,"1,950.00",BU740006,94,2302,Out of town registration fees,978
Department of Finance,Treasury Office,037408,300.00,BU740006,95,2303,In town registration fees,979
Department of Finance,Treasury Office,037408,"1,000.00",BU740006,96,2308,Transportation - out of town,980
Department of Finance,Treasury Office,037408,309.00,BU740006,97,2500,Certification fees,981
Department of Finance,Treasury Office,037408,148.00,BU740006,98,2502,Medical and laboratory services,982
Department of Finance,Treasury Office,037408,"27,260.00",BU740006,99,2505,Contractors,983
Department of Finance,Treasury Office,037408,150.00,BU740006,100,2519,Background checks,984
Department of Finance,Treasury Office,037408,"121,000.00",BU740007,1,2543,Bank charges,985
Department of Finance,Treasury Office,037408,"3,435.00",BU740007,2,2599,Other professional services,986
Department of Finance,Treasury Office,037408,"33,686.00",BU740007,3,2600,Data center charges,987
Department of Finance,Treasury Office,037408,"47,034.00",BU740007,4,2601,Maintenance - data equipment,988
Department of Finance,Treasury Office,037408,"3,439.00",BU740007,5,2703,Maintenance - equipment,989
Department of Finance,Treasury Office,037408,700.00,BU740007,6,2902,Advertising,990
Department of Finance,Treasury Office,037408,130.00,BU740007,7,2905,Periodicals/Subscriptions,991
Department of Finance,Treasury Office,037408,"1,061.00",BU740007,8,2906,Membership dues,992
Department of Finance,Treasury Office,037408,50.00,BU740007,9,2909,Recording costs,993
Department of Finance,Treasury Office,037408,"45,500.00",BU740007,10,2917,Printing and copying,994
Department of Finance,Treasury Office,037408,"658,907.00",BU740072,23,1100,Bi-weekly wages,995
Department of Finance,Treasury Office,037408,"8,808.00",BU740072,24,1101,Longevity,996
Department of Finance,Treasury Office,037408,"3,857.00",BU740072,25,1190,Accrual,997
Department of Finance,Treasury Office,037408,"51,611.00",BU740072,26,1199,Other,998
Department of Finance,Treasury Office,037408,600.00,BU740072,27,1208,Cellular phone allowance,999
Department of Finance,Treasury Office,037408,"51,080.00",BU740072,28,1400,FICA,1000
Public Works & Utilities,Public Works Administration,130047,150.00,BU740058,16,2601,Maintenance - data equipment,3001
Public Works & Utilities,Public Works Administration,130047,100.00,BU740058,17,2701,Motor pool-unscheduled charges,3002
Public Works & Utilities,Public Works Administration,130047,"3,000.00",BU740058,18,2917,Printing and copying,3003
Public Works & Utilities,Public Works Administration,130047,"2,750.00",BU740058,19,3103,Office supplies,3004
Public Works & Utilities,Public Works Administration,130047,600.00,BU740058,20,3804,"Data processing equipment  < $5,000 each",3005
Public Works & Utilities,Public Works Administration,130047,250.00,BU740058,21,3805,Furniture & equipment <$5000 each,3006
Public Works & Utilities,Public Works Administration,130047,100.00,BU740058,22,3903,Food supplies,3007
Public Works & Utilities,Public Works Administration,130047,250.00,BU740058,23,3904,Petty cash expenditures,3008
Public Works & Utilities,Public Works Administration,130047,"2,771.00",BU740057,97,1406,Group life insurance,3009
Public Works & Utilities,Public Works Administration,130047,"-,177,198.00",BU740057,98,1499,Employee benefits in aggregate,3010
Public Works & Utilities,Public Works Administration,130047,"1,368.00",BU740057,99,2200,PBX - line charges,3011
Public Works & Utilities,Public Works Administration,130047,"3,105.00",BU740057,100,2201,PBX - instrument charges,3012
Public Works & Utilities,Public Works Administration,130047,200.00,BU740058,1,2203,Long distance service,3013
Public Works & Utilities,Public Works Administration,130047,250.00,BU740058,2,2207,Postage - regular,3014
Public Works & Utilities,Public Works Administration,130047,420.00,BU740058,3,2214,Air cards - mobile,3015
Public Works & Utilities,Public Works Administration,130047,984.00,BU740058,4,2216,Voice mail,3016
Public Works & Utilities,Street Lighting,130161,"4,580,733.00",BU740058,24,2100,Electricity,3017
Public Works & Utilities,Street Lighting,130161,"1,250.00",BU740058,25,2505,Contractors,3018
Public Works & Utilities,Street Lighting,130161,"60,000.00",BU740058,26,2599,Other professional services,3019
Public Works & Utilities,Street Lighting,130161,"3,500.00",BU740058,27,3400,Equipment parts and supplies,3020
Public Works & Utilities,Street Lighting,130161,"11,000.00",BU740058,28,3407,Road/highway/traffic equipment,3021
Public Works & Utilities,Street Lighting,130161,100.00,BU740058,29,3499,Other equipment parts,3022
Public Works & Utilities,Street Lighting,130161,"2,500.00",BU740058,30,3500,Materials,3023
Public Works & Utilities,Street Lighting,130161,"4,000.00",BU740058,31,3599,Other materials,3024
Public Works & Utilities,Street Lighting,130161,"3,500.00",BU740058,32,3700,Building parts and materials,3025
Public Works & Utilities,Cowtown Maintenance,130499,"2,232.00",BU740058,34,1101,Longevity,3026
Public Works & Utilities,Cowtown Maintenance,130499,571.00,BU740058,35,1190,Accrual,3027
Public Works & Utilities,Cowtown Maintenance,130499,300.00,BU740058,36,1204,Clothing allowance,3028
Public Works & Utilities,Cowtown Maintenance,130499,600.00,BU740058,37,1208,Cellular phone allowance,3029
Public Works & Utilities,Cowtown Maintenance,130499,"8,038.00",BU740058,38,1400,FICA,3030
Public Works & Utilities,Cowtown Maintenance,130499,"12,923.00",BU740058,39,1401,Employee pension,3031
Public Works & Utilities,Cowtown Maintenance,130499,"2,501.00",BU740058,40,1403,Workers compensation,3032
Public Works & Utilities,Cowtown Maintenance,130499,210.00,BU740058,41,1404,Unemployment compensation,3033
Public Works & Utilities,Cowtown Maintenance,130499,"31,727.00",BU740058,42,1405,Group health insurance,3034
Public Works & Utilities,Cowtown Maintenance,130499,411.00,BU740058,43,1406,Group life insurance,3035
Public Works & Utilities,Cowtown Maintenance,130499,342.00,BU740058,44,2200,PBX - line charges,3036
Public Works & Utilities,Cowtown Maintenance,130499,810.00,BU740058,45,2201,PBX - instrument charges,3037
Public Works & Utilities,Cowtown Maintenance,130499,84.00,BU740058,46,2216,Voice mail,3038
Public Works & Utilities,Cowtown Maintenance,130499,"1,350.00",BU740058,47,2401,Vehicle liability,3039
Public Works & Utilities,Cowtown Maintenance,130499,"4,000.00",BU740058,48,2505,Contractors,3040
Public Works & Utilities,Cowtown Maintenance,130499,"2,310.00",BU740058,49,2600,Data center charges,3041
Public Works & Utilities,Cowtown Maintenance,130499,"10,440.00",BU740058,50,2700,Motor pool - scheduled charges,3042
Public Works & Utilities,Cowtown Maintenance,130499,"2,000.00",BU740058,51,2702,Lease/rent equipment,3043
Public Works & Utilities,Cowtown Maintenance,130499,400.00,BU740058,52,2708,Uniform rental service,3044
Public Works & Utilities,Cowtown Maintenance,130499,"20,000.00",BU740058,53,2803,Maintenance - buildings,3045
Public Works & Utilities,Cowtown Maintenance,130499,"1,000.00",BU740058,54,2804,Pest control services,3046
Public Works & Utilities,Cowtown Maintenance,130499,50.00,BU740058,55,2917,Printing and copying,3047
Public Works & Utilities,Cowtown Maintenance,130499,200.00,BU740058,56,3200,Clothing and towels,3048
Public Works & Utilities,Cowtown Maintenance,130499,240.00,BU740058,57,3400,Equipment parts and supplies,3049
Public Works & Utilities,Cowtown Maintenance,130499,"102,837.00",BU740058,33,1100,Bi-weekly wages,3050
Public Works & Utilities,Cowtown Maintenance,130499,"42,148.00",BU740062,87,3700,Building parts and materials,3051
Public Works & Utilities,Cowtown Maintenance,130499,700.00,BU740062,88,3800,"Non-capital shop equipment < $5,000 each",3052
Public Works & Utilities,Cowtown Maintenance,130499,"1,000.00",BU740062,89,3809,"Plumbing equipment < $5,000 each",3053
Public Works & Utilities,Cowtown Maintenance,130499,"6,000.00",BU740059,86,3403,Electrical,3054
Public Works & Utilities,Cowtown Maintenance,130499,"24,000.00",BU740062,85,3499,Other equipment parts,3055
Public Works & Utilities,Cowtown Maintenance,130499,"2,500.00",BU740062,86,3500,Materials,3056
Public Works & Utilities,Cowtown Maintenance,130499,999.00,BU740062,84,3405,Fuel,3057
Public Works & Utilities,City Hall,130500,"2,850.00",BU740063,20,2303,In town registration fees,3058
Public Works & Utilities,City Hall,130500,975.00,BU740063,21,2308,Transportation - out of town,3059
Public Works & Utilities,City Hall,130500,10.00,BU740063,22,2310,Turnpike fees and charges,3060
Public Works & Utilities,City Hall,130500,"105,938.00",BU740063,23,2400,Building and contents insurance,3061
Public Works & Utilities,City Hall,130500,"6,410.00",BU740063,24,2401,Vehicle liability,3062
Public Works & Utilities,City Hall,130500,150.00,BU740063,25,2502,Medical and laboratory services,3063
Public Works & Utilities,City Hall,130500,"2,000.00",BU740063,26,2505,Contractors,3064
Public Works & Utilities,City Hall,130500,"10,000.00",BU740063,27,2511,Architecture,3065
Public Works & Utilities,City Hall,130500,200.00,BU740063,28,2519,Background checks,3066
Public Works & Utilities,City Hall,130500,"8,000.00",BU740063,29,2599,Other professional services,3067
Public Works & Utilities,City Hall,130500,"67,681.00",BU740063,30,2600,Data center charges,3068
Public Works & Utilities,City Hall,130500,"13,000.00",BU740063,31,2601,Maintenance - data equipment,3069
Public Works & Utilities,City Hall,130500,"1,500.00",BU740063,32,2699,Other data processing charges,3070
Public Works & Utilities,City Hall,130500,"89,760.00",BU740063,33,2700,Motor pool - scheduled charges,3071
Public Works & Utilities,City Hall,130500,100.00,BU740063,34,2701,Motor pool-unscheduled charges,3072
Public Works & Utilities,City Hall,130500,"8,500.00",BU740063,35,2705,Outside services,3073
Public Works & Utilities,City Hall,130500,"3,500.00",BU740063,36,2708,Uniform rental service,3074
Public Works & Utilities,City Hall,130500,"100,000.00",BU740063,37,2803,Maintenance - buildings,3075
Public Works & Utilities,City Hall,130500,750.00,BU740063,38,2804,Pest control services,3076
Public Works & Utilities,City Hall,130500,"1,900.00",BU740063,39,2805,Janitorial services,3077
Public Works & Utilities,City Hall,130500,"10,000.00",BU740063,40,2806,Security/Fire services,3078
Public Works & Utilities,City Hall,130500,450.00,BU740063,41,2899,Other building/grounds charges,3079
Public Works & Utilities,City Hall,130500,100.00,BU740063,42,2902,Advertising,3080
Public Works & Utilities,City Hall,130500,"3,500.00",BU740063,43,2917,Printing and copying,3081
Public Works & Utilities,City Hall,130500,"4,308.00",BU740063,16,2215,Plexar,3082
Public Works & Utilities,City Hall,130500,"1,044.00",BU740063,17,2216,Voice mail,3083
Public Works & Utilities,City Hall,130500,"3,500.00",BU740063,18,2301,Meals and lodging allowance,3084
Public Works & Utilities,City Hall,130500,"2,000.00",BU740063,19,2302,Out of town registration fees,3085
Public Works & Utilities,City Hall,130500,"3,699.00",BU740063,44,2999,Other contractuals,3086
Public Works & Utilities,City Hall,130500,"4,200.00",BU740063,15,2214,Air cards - mobile,3087
Public Works & Utilities,City Hall,130500,"2,000.00",BU740006,17,3899,"Other non-capitalized equip <$5,000 each",3088
Public Works & Utilities,City Hall,130500,65.00,BU740083,46,9236,Vending machines,3089
Public Works & Utilities,City Hall,130500,"6,500.00",BU740005,100,3103,Office supplies,3090
Public Works & Utilities,City Hall,130500,"1,250.00",BU740006,1,3200,Clothing and towels,3091
Public Works & Utilities,City Hall,130500,"3,500.00",BU740006,2,3301,Industrial chemicals,3092
Public Works & Utilities,City Hall,130500,"3,000.00",BU740006,3,3400,Equipment parts and supplies,3093
Public Works & Utilities,City Hall,130500,250.00,BU740006,4,3402,Automotive,3094
Public Works & Utilities,City Hall,130500,"40,000.00",BU740006,5,3403,Electrical,3095
Public Works & Utilities,City Hall,130500,"18,447.00",BU740006,6,3405,Fuel,3096
Public Works & Utilities,City Hall,130500,"1,000.00",BU740006,7,3406,Safety/security equipment,3097
Public Works & Utilities,City Hall,130500,"70,000.00",BU740006,8,3499,Other equipment parts,3098
Public Works & Utilities,City Hall,130500,700.00,BU740006,9,3500,Materials,3099
Public Works & Utilities,City Hall,130500,"10,000.00",BU740006,10,3700,Building parts and materials,3100
Public Works & Utilities,City Hall,130500,"2,000.00",BU740006,11,3800,"Non-capital shop equipment < $5,000 each",3101
